time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z,PointerHeadTilt1X,PointerHeadTilt1Y,PointerHeadTilt1Z,PointerHeadTilt2X,PointerHeadTilt2Y,PointerHeadTilt2Z
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.447,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.454,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.461,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.468,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.482,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.405, -0.278,46.413, 15.493, 3.865,0.493, 0.972, -0.332,27.130, 359.365, 4.901,0.461, 0.816, 0.262,0.490, 0.827, -0.049,null,null,null,0.391, 0.867, -0.039
0.492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.313, 1.407, -0.280,46.584, 14.878, 3.366,0.494, 0.972, -0.331,27.043, 359.287, 3.966,0.456, 0.819, 0.258,0.490, 0.827, -0.048,null,null,null,0.387, 0.872, -0.044
0.500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.314, 1.409, -0.283,47.245, 14.555, 3.229,0.493, 0.971, -0.330,26.927, 359.040, 4.108,0.450, 0.824, 0.240,0.489, 0.828, -0.048,null,null,null,0.382, 0.893, -0.065
0.506,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.314, 1.409, -0.283,47.245, 14.555, 3.229,0.493, 0.971, -0.330,26.927, 359.040, 4.108,0.450, 0.824, 0.240,0.489, 0.828, -0.048,null,null,null,0.382, 0.893, -0.065
0.513,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.314, 1.409, -0.283,47.245, 14.555, 3.229,0.493, 0.971, -0.330,26.927, 359.040, 4.108,0.450, 0.824, 0.240,0.489, 0.828, -0.048,null,null,null,0.382, 0.893, -0.065
0.519,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.314, 1.409, -0.283,47.245, 14.555, 3.229,0.493, 0.971, -0.330,26.927, 359.040, 4.108,0.450, 0.824, 0.240,0.489, 0.828, -0.048,null,null,null,0.382, 0.893, -0.065
